hour,rows,attacks,alerts,has_attack,is_alert_window
2021-12-24 13:00:00+00:00,5323,0,4,False,True
2021-12-24 14:00:00+00:00,5413,0,2,False,True
2021-12-24 15:00:00+00:00,5412,0,2,False,True
2021-12-24 16:00:00+00:00,5411,0,2,False,True
2021-12-24 17:00:00+00:00,5412,0,2,False,True
2021-12-24 18:00:00+00:00,5415,0,2,False,True
2021-12-24 19:00:00+00:00,5558,0,9,False,True
2021-12-24 20:00:00+00:00,5412,0,2,False,True
2021-12-24 21:00:00+00:00,5414,0,1,False,True
2021-12-24 22:00:00+00:00,5411,0,1,False,True
2021-12-24 23:00:00+00:00,5416,0,4,False,True
2021-12-25 00:00:00+00:00,5409,0,3,False,True
2021-12-25 01:00:00+00:00,5435,0,3,False,True
2021-12-25 02:00:00+00:00,5412,0,1,False,True
2021-12-25 03:00:00+00:00,5408,0,2,False,True
2021-12-25 04:00:00+00:00,5416,0,4,False,True
2021-12-25 05:00:00+00:00,5403,0,4,False,True
2021-12-25 06:00:00+00:00,5500,0,1,False,True
2021-12-25 07:00:00+00:00,5438,0,0,False,False
2021-12-25 08:00:00+00:00,5411,0,3,False,True
2021-12-25 09:00:00+00:00,5412,0,3,False,True
2021-12-25 10:00:00+00:00,5420,0,0,False,False
2021-12-25 11:00:00+00:00,5452,0,0,False,False
2021-12-25 12:00:00+00:00,5414,0,3,False,True
2021-12-25 13:00:00+00:00,5561,0,8,False,True
2021-12-25 14:00:00+00:00,5414,0,1,False,True
2021-12-25 15:00:00+00:00,5412,0,0,False,False
2021-12-25 16:00:00+00:00,5415,0,2,False,True
2021-12-25 17:00:00+00:00,5414,0,3,False,True
2021-12-25 18:00:00+00:00,5417,0,1,False,True
2021-12-25 19:00:00+00:00,5403,0,2,False,True
2021-12-25 20:00:00+00:00,5413,0,1,False,True
2021-12-25 21:00:00+00:00,5408,0,2,False,True
2021-12-25 22:00:00+00:00,5410,0,3,False,True
2021-12-25 23:00:00+00:00,5416,0,0,False,False
2021-12-26 00:00:00+00:00,5416,0,3,False,True
2021-12-26 01:00:00+00:00,5442,0,5,False,True
2021-12-26 02:00:00+00:00,5415,0,0,False,False
2021-12-26 03:00:00+00:00,5410,0,2,False,True
2021-12-26 04:00:00+00:00,5414,0,0,False,False
2021-12-26 05:00:00+00:00,5418,0,3,False,True
2021-12-26 06:00:00+00:00,5512,0,4,False,True
2021-12-26 07:00:00+00:00,5426,0,2,False,True
2021-12-26 08:00:00+00:00,5412,0,2,False,True
2021-12-26 09:00:00+00:00,5412,0,2,False,True
2021-12-26 10:00:00+00:00,5415,0,4,False,True
2021-12-26 11:00:00+00:00,5415,0,0,False,False
2021-12-26 12:00:00+00:00,5414,0,1,False,True
2021-12-26 13:00:00+00:00,5410,0,2,False,True
2021-12-26 14:00:00+00:00,5416,0,3,False,True
2021-12-26 15:00:00+00:00,5411,0,2,False,True
2021-12-26 16:00:00+00:00,5414,0,3,False,True
2021-12-26 17:00:00+00:00,5411,0,1,False,True
2021-12-26 18:00:00+00:00,5421,0,1,False,True
2021-12-26 19:00:00+00:00,5410,0,0,False,False
2021-12-26 20:00:00+00:00,5414,0,1,False,True
2021-12-26 21:00:00+00:00,5412,0,1,False,True
2021-12-26 22:00:00+00:00,5407,0,1,False,True
2021-12-26 23:00:00+00:00,5412,0,4,False,True
2021-12-27 00:00:00+00:00,5415,0,2,False,True
2021-12-27 01:00:00+00:00,5444,0,2,False,True
2021-12-27 02:00:00+00:00,5415,0,2,False,True
2021-12-27 03:00:00+00:00,5412,0,2,False,True
